# Event 'cycles'
#
# Baseline  Delta Abs  Shared Object             Symbol                                         
# ........  .........  ........................  ...............................................
#
     0.00%     +0.01%  [kernel.kallsyms]         [k] __dma_page_cpu_to_dev
     0.00%     +0.01%  [kernel.kallsyms]         [k] ext4_ext_index_trans_blocks
     0.02%     -0.01%  [kernel.kallsyms]         [k] chmod_common
     0.01%     +0.01%  [kernel.kallsyms]         [k] dentry_unlink_inode
     0.02%     -0.01%  [kernel.kallsyms]         [k] __file_remove_privs
     0.01%     +0.01%  [kernel.kallsyms]         [k] evict
     0.07%     -0.01%  [kernel.kallsyms]         [k] ext4_finish_bio
     0.01%     +0.01%  [kernel.kallsyms]         [k] migrate_enable
     0.04%     -0.01%  [kernel.kallsyms]         [k] ext4_es_insert_extent
     0.04%     +0.01%  [kernel.kallsyms]         [k] mark_buffer_dirty
     0.02%     -0.01%  [kernel.kallsyms]         [k] blk_attempt_plug_merge
     0.01%     -0.01%  [kernel.kallsyms]         [k] file_ra_state_init
     0.00%     +0.01%  [kernel.kallsyms]         [k] __resolve_freq
     0.01%     +0.01%  [kernel.kallsyms]         [k] nohz_run_idle_balance
     0.01%     +0.01%  [kernel.kallsyms]         [k] i_callback
               +0.01%  [kernel.kallsyms]         [k] kernfs_put
     0.01%     +0.01%  [kernel.kallsyms]         [k] dentry_lru_isolate
     0.01%     -0.01%  [kernel.kallsyms]         [k] __d_instantiate
     0.05%     +0.01%  [kernel.kallsyms]         [k] ext4_journal_check_start
     0.05%     +0.01%  [kernel.kallsyms]         [k] __ext4_find_entry
     0.01%     -0.01%  [kernel.kallsyms]         [k] page_mapping
     0.01%     +0.01%  [kernel.kallsyms]         [k] list_lru_add
     0.02%     -0.01%  [kernel.kallsyms]         [k] may_open
     0.00%     +0.01%  [kernel.kallsyms]         [k] extfrag_for_order
     0.01%     -0.01%  [kernel.kallsyms]         [k] alloc_empty_file
     0.01%     +0.01%  [kernel.kallsyms]         [k] d_lru_add
     1.62%     +0.01%  libc-2.28.so              [.] 0x00016fd8
     0.00%     +0.01%  [kernel.kallsyms]         [k] get_cpu_iowait_time_us
     0.01%     -0.01%  [kernel.kallsyms]         [k] putname
     0.00%     +0.01%  [kernel.kallsyms]         [k] __remove_inode_hash
     0.00%     +0.01%  [kernel.kallsyms]         [k] mmc_blk_mq_req_done
     0.05%     -0.01%  [kernel.kallsyms]         [k] ext4_getblk
     0.08%     -0.01%  [kernel.kallsyms]         [k] mod_zone_page_state
     0.06%     +0.01%  [kernel.kallsyms]         [k] ext4_bio_write_page
     0.00%     +0.01%  [kernel.kallsyms]         [k] __mmc_start_request
     0.02%     +0.01%  [kernel.kallsyms]         [k] mutex_unlock
     0.01%     +0.01%  [kernel.kallsyms]         [k] ext4_es_find_extent_range
     0.04%     -0.01%  [kernel.kallsyms]         [k] mb_mark_used
     0.02%     +0.01%  [kernel.kallsyms]         [k] bcm2835_dma_complete_work
     0.04%     +0.01%  [kernel.kallsyms]         [k] ext4_es_can_be_merged
     0.01%     +0.01%  [kernel.kallsyms]         [k] lockref_put_return
     0.01%     +0.01%  [kernel.kallsyms]         [k] arch_counter_get_cntpct
     0.04%     -0.01%  [kernel.kallsyms]         [k] ext4_da_reserve_space
     0.01%     -0.01%  [kernel.kallsyms]         [k] wait_for_stable_page
     0.04%     -0.01%  [kernel.kallsyms]         [k] rcu_cblist_dequeue
     0.06%     -0.01%  [kernel.kallsyms]         [k] ext4_free_blocks
     0.04%     -0.01%  [kernel.kallsyms]         [k] inode_permission
     0.02%     -0.01%  [kernel.kallsyms]         [k] __dentry_kill
     0.01%     +0.01%  [kernel.kallsyms]         [k] elv_rqhash_find
     0.00%     +0.01%  [kernel.kallsyms]         [k] blk_rq_merge_ok
     0.01%     +0.01%  [kernel.kallsyms]         [k] local_restart
     0.00%     +0.01%  [kernel.kallsyms]         [k] folio_batch_move_lru
     0.01%     +0.01%  [kernel.kallsyms]         [k] ext4_readdir
     0.01%     +0.01%  [kernel.kallsyms]         [k] wq_worker_sleeping
     0.04%     +0.01%  [kernel.kallsyms]         [k] do_sys_openat2
     0.02%     +0.01%  [kernel.kallsyms]         [k] __aeabi_uidivmod
     0.01%     +0.01%  [kernel.kallsyms]         [k] led_trigger_event
     0.01%     -0.01%  [kernel.kallsyms]         [k] __d_lookup_unhash
     0.09%     +0.01%  [kernel.kallsyms]         [k] ext4_get_inode_loc
     0.04%     -0.01%  [kernel.kallsyms]         [k] ext4_alloc_inode
     0.06%     +0.01%  [kernel.kallsyms]         [k] find_get_pages_range_tag
     0.01%     -0.01%  [kernel.kallsyms]         [k] ext4_orphan_del
     0.09%     +0.01%  [kernel.kallsyms]         [k] page_address
     0.01%     +0.01%  [kernel.kallsyms]         [k] blk_mq_rq_ctx_init.constprop.0
     0.01%     -0.01%  [kernel.kallsyms]         [k] ext4_fc_track_create
